user_id,checkout_time
2,2023-06-03 04:00:00
7,2023-06-27 15:13:00
8,2023-06-18 11:18:00
9,2023-06-13 07:24:00
12,2023-06-04 07:25:00
18,2023-06-15 21:02:00
19,2023-06-21 22:23:00
21,2023-06-23 00:04:00
23,2023-06-21 13:06:00
24,2023-06-14 08:00:00
25,2023-06-16 00:19:00
26,2023-06-04 16:29:00
27,2023-06-01 04:52:00
29,2023-06-27 08:58:00
32,2023-06-24 23:17:00
36,2023-07-02 12:28:00
40,2023-06-10 09:01:00
41,2023-06-09 08:31:00
42,2023-07-03 12:17:00
44,2023-07-01 12:42:00
50,2023-07-02 07:06:00
51,2023-06-11 05:06:00
54,2023-06-03 00:10:00
56,2023-06-20 09:31:00
57,2023-06-15 13:49:00
58,2023-06-02 13:24:00
59,2023-06-11 06:02:00
60,2023-06-12 05:17:00
63,2023-06-06 10:32:00
68,2023-06-26 20:14:00
69,2023-06-24 08:56:00
70,2023-06-10 04:32:00
71,2023-06-23 14:48:00
72,2023-06-29 10:44:00
75,2023-06-19 13:43:00
76,2023-06-20 04:35:00
87,2023-06-28 22:06:00
88,2023-06-28 02:08:00
89,2023-07-01 10:46:00
91,2023-06-02 23:27:00
92,2023-06-05 01:00:00
93,2023-06-04 15:59:00
94,2023-06-17 03:30:00
95,2023-06-29 23:14:00
97,2023-06-12 11:15:00
98,2023-06-10 13:00:00
108,2023-06-27 20:31:00
109,2023-06-11 00:07:00
115,2023-07-01 06:35:00
117,2023-06-25 04:14:00
118,2023-06-09 00:15:00
119,2023-06-10 18:39:00
130,2023-06-19 12:44:00
137,2023-06-12 16:09:00
138,2023-06-10 02:09:00
140,2023-06-16 23:23:00
142,2023-06-03 15:57:00
143,2023-06-21 14:22:00
144,2023-06-23 05:48:00
148,2023-06-16 20:19:00
151,2023-06-10 04:10:00
152,2023-06-12 17:36:00
155,2023-06-24 04:52:00
156,2023-06-04 06:25:00
159,2023-06-07 16:06:00
161,2023-06-17 16:29:00
163,2023-06-22 15:01:00
164,2023-06-04 00:02:00
166,2023-06-24 22:22:00
167,2023-06-12 07:23:00
170,2023-06-09 05:42:00
171,2023-06-23 06:00:00
174,2023-06-30 08:19:00
179,2023-06-16 02:51:00
180,2023-06-22 08:22:00
184,2023-06-01 16:53:00
187,2023-06-07 21:34:00
189,2023-06-28 18:13:00
190,2023-06-22 02:11:00
192,2023-06-04 23:20:00
193,2023-06-26 02:30:00
195,2023-06-20 13:13:00
196,2023-06-27 04:19:00
199,2023-06-30 10:31:00
206,2023-06-22 01:08:00
207,2023-06-30 14:36:00
208,2023-06-17 09:41:00
215,2023-07-02 10:02:00
218,2023-06-05 01:34:00
227,2023-06-28 16:37:00
229,2023-06-09 08:07:00
230,2023-06-08 12:26:00
231,2023-06-29 00:40:00
234,2023-06-22 20:37:00
237,2023-06-20 10:18:00
238,2023-07-01 12:43:00
241,2023-06-03 00:27:00
245,2023-06-24 14:46:00
247,2023-07-03 11:17:00
248,2023-06-08 18:14:00
