"total_yield","cover_10","region","total_avg","age_avg","experience_avg","insurance_avg","easement_p","conservation_till_avg","fertilizer_per_area"
61.3323353293413,0,"South",0.305,57.2,21.6,0.254396825396825,1.88679245283019,145,20.2674061252605
47.4709944751381,1,"South",0.208,61.2,24.9,0.638620689655173,1.54394299287411,553,74.6268656716418
46.2748538011696,0,"South",0.307,61,24.5,0.422347826086957,0.803212851405622,63,15.083667216592
81.774048652468,0,"South",0.254,58.8,23.9,1.05578461538462,1.1844331641286,391,60.0335293648048
81.0482654600302,0,"South",0.117,58,23.9,0.2556,0.505334081976418,27,22.9376007346154
58.2608695652174,0,"South",0.292,62.5,23.6,0.613804347826087,2.3454157782516,579,25.2614829899202
55.9922879177378,0,"South",0.128,57,22.6,0.351404958677686,0.876740587931924,263,28.3359405632425
50.8775862068966,0,"South",0.178,59.1,23.4,0.678529411764706,2.05761316872428,48,16.1787067840961
38.9848484848485,0,"South",0.224,59.9,22.4,0.401117647058824,1.09756097560976,541,35.957372543031
75.1488926746167,0,"South",0.161,57,21.5,0.4724140625,1.1070110701107,152,35.5712775548122
81.1278863232682,0,"South",0.161,57.4,21.4,0.722191489361702,1.4514896867838,52,44.1200917644712
81.9516817739157,0,"South",0.171,57,23,1.373046875,0.718849840255591,402,49.3433825971827
79.1527057079318,0,"South",0.194,58.6,22.1,0.847374100719424,0.951557093425606,797,56.8271788348115
75.8064770102876,0,"South",0.181,59.7,21.4,0.7330546875,0.489715964740451,408,58.9208656435547
75.9174311926606,0,"South",0.116,58.3,22.9,0.328384615384615,0.77319587628866,63,33.211235021948
46.1336032388664,0,"South",0.491,63.3,27.4,0.1546875,1.63487738419619,121,6.33641831457931
78.4092416537696,1,"South",0.849,57.2,22.2,1.21864189189189,3.07377049180328,836,78.8263175931691
62.084142394822,0,"South",0.374,58.6,24.2,1.057,2.8328611898017,997,55.8629156940613
45.3934959349594,0,"South",0.126,57.6,23.3,0.255709677419355,0.309917355371901,39,12.1721578811338
57.4273504273504,0,"South",1.057,58.5,23.4,1.6617724137931,5.84192439862543,1671,36.1856012071623
48.4488617057424,0,"South",0.529,57.4,23.5,1.46557352941176,0.738007380073801,1165,72.2314141900713
43.5278766310795,0,"South",0.224,58.9,23.4,0.396416666666667,0.78125,840,13.6712955152333
67.492680695334,1,"South",0.615,55.8,22.9,1.24446739130435,1.33843212237094,996,72.4776550303792
67.8479256965944,0,"South",1.201,59.7,24,1.76639705882353,4.58015267175573,1298,38.3102315264988
64.4372443487621,0,"South",0.908,56.1,22.9,1.34807926829268,1.66666666666667,915,65.7539076272182
53.916912487709,0,"South",1.133,58.8,24.2,1.86786821705426,1.81818181818182,1146,50.7987569184934
67.2883657763694,0,"South",0.414,57.6,21.5,1.40455339805825,0.63391442155309,801,68.0806904949722
55.2197674418605,0,"South",0.301,56.8,23.1,0.670733333333333,1.34831460674157,801,15.9210787007443
57.0500572550303,0,"South",0.639,57.9,24.6,1.09165882352941,2.35849056603774,707,49.4342771894064
38.7491549546344,0,"South",0.671,56.5,18.4,1.5565350877193,2.29357798165138,1221,57.5022062294342
46.1956939638601,0,"South",0.566,58.6,23.3,1.02215294117647,5.42005420054201,1480,47.5
51.7152818128995,0,"South",0.523,58.1,22.1,1.16833027522936,2.70655270655271,1109,57.6459402099436
28.1812456263121,0,"South",0.247,58.2,23.4,1.1623,1.16959064327485,1055,24.4445673035154
58.7039546879741,1,"South",1.678,55.5,25.3,1.93064285714286,2.11267605633803,1679,44.3251025179328
52.3256107834878,1,"South",1.573,56.8,25.8,2.03922151898734,2.5974025974026,1710,45.8071350934882
