feat1,feat2,label
2.040919121385182500e+00,-2.555665031314181768e+00,1.000000000000000000e+00
4.180988467257788499e-01,-5.677696061279298156e-01,0.000000000000000000e+00
-4.526492921104458556e-01,-2.155971630897658975e-01,0.000000000000000000e+00
-2.019986129147250953e+00,-2.319323776441894747e-01,0.000000000000000000e+00
-8.652130762749417059e-01,3.322999516644882689e+00,1.000000000000000000e+00
2.257866132279217619e-01,-3.526307943415953883e-01,0.000000000000000000e+00
-2.812874181513503880e-01,-6.680463461089500843e-01,0.000000000000000000e+00
-1.055150551205121356e+00,-3.908009772346547339e-01,0.000000000000000000e+00
4.819453885067858656e-01,-2.385536065733666888e-01,1.000000000000000000e+00
9.577587029597640633e-01,-1.998021290665799865e-01,1.000000000000000000e+00
2.425956507666462286e-02,1.545820851212811986e+00,1.000000000000000000e+00
5.451055226876445614e-01,-5.052287356140180430e-01,0.000000000000000000e+00
-1.828389745977349046e-01,5.405251317548021017e-01,1.000000000000000000e+00
1.935088034098852772e+00,-2.696203273419134905e-01,1.000000000000000000e+00
-2.435586790791045564e-01,1.002313601275691246e+00,1.000000000000000000e+00
-8.864599431605870716e-01,-2.917202324398640023e-01,0.000000000000000000e+00
8.825389674564838582e-01,5.803500161908990984e-01,1.000000000000000000e+00
9.151670328235218810e-02,6.701043548284794094e-01,1.000000000000000000e+00
-2.828162306843762686e+00,1.021306817500079900e+00,0.000000000000000000e+00
-9.596447598081416785e-01,-1.668619842655969521e+00,0.000000000000000000e+00
2.764457595209996454e-01,7.005448853493900785e-01,1.000000000000000000e+00
-4.447674556827840853e-01,-1.076405840100807643e+00,0.000000000000000000e+00
2.612483353403362296e-02,-5.274730824287927194e-02,0.000000000000000000e+00
1.405598166018092510e+00,7.474079874793504441e-01,0.000000000000000000e+00
1.938156462646200007e-01,1.111633205223992116e+00,1.000000000000000000e+00
-2.055230499057924820e-01,-9.258995736483680572e-01,0.000000000000000000e+00
5.840583110252479671e-01,5.825384186556901156e-01,1.000000000000000000e+00
-2.148289111268557872e-01,-7.828085779639661901e-01,0.000000000000000000e+00
2.291539052132625376e-01,-2.493894278457990499e+00,0.000000000000000000e+00
6.901247701628120401e-01,4.913682607449911810e-01,0.000000000000000000e+00
-1.638857143890488421e+00,6.135350983817158821e-02,0.000000000000000000e+00
-9.640996635412404370e-01,7.572210447581504411e-01,0.000000000000000000e+00
-2.034167273443427959e+00,-9.144945379945886854e-01,0.000000000000000000e+00
7.095799877420675417e-01,1.156401048432156964e+00,1.000000000000000000e+00
-2.158005380126208017e+00,-4.980398447513033622e-01,0.000000000000000000e+00
3.280200925425769687e-01,-6.092161379498706175e-01,0.000000000000000000e+00
1.590640231323143805e+00,-1.191226681617780780e+00,1.000000000000000000e+00
3.545319462869260252e-01,-1.048405518544511139e+00,0.000000000000000000e+00
1.405962943134885235e+00,-2.165122905555836794e-02,1.000000000000000000e+00
-3.722505640006159022e-01,-1.718184949732616484e+00,0.000000000000000000e+00
1.681825545066680583e+00,7.527785926973875608e-01,1.000000000000000000e+00
7.535638375093619556e-01,1.137881258917781357e+00,0.000000000000000000e+00
3.492265781230293187e-01,-6.392466105764211814e-01,0.000000000000000000e+00
-8.002412270301018093e-01,-8.001999793610049538e-01,0.000000000000000000e+00
1.370072341333711696e+00,-1.460381201195412704e+00,1.000000000000000000e+00
-5.963695117707887849e-01,-3.212439192861955561e-01,0.000000000000000000e+00
2.246190253490941424e-01,5.753493885078089232e-01,1.000000000000000000e+00
-1.249097009095542665e+00,-1.730013451272522040e+00,0.000000000000000000e+00
-4.414232621967486767e-03,1.213563825286081643e+00,1.000000000000000000e+00
7.570580592965242550e-01,2.156507836999604355e-01,1.000000000000000000e+00
-3.171556440173551872e-01,2.932336958002246252e-01,0.000000000000000000e+00
-2.433350857421756608e-01,8.172065804925949806e-01,1.000000000000000000e+00
-7.944473388868819042e-01,1.342399470863388233e-01,0.000000000000000000e+00
-1.107801361115940408e-01,5.433593895301523924e-01,1.000000000000000000e+00
2.246385236493769200e-01,2.550034636307906055e+00,1.000000000000000000e+00
1.498654758135482989e+00,1.496737165518510659e+00,1.000000000000000000e+00
-2.039503837594642377e+00,-3.403166247023772795e-01,0.000000000000000000e+00
-6.086106159129298643e-01,5.327215998890392212e-01,0.000000000000000000e+00
-2.279026489055326898e+00,1.174498679009187585e+00,0.000000000000000000e+00
1.066983310895314174e+00,-1.302070858245794716e+00,0.000000000000000000e+00
-9.785485286214127276e-01,-8.011720107811816094e-01,0.000000000000000000e+00
4.329590028314498490e-02,6.409710646894710706e-01,1.000000000000000000e+00
2.047886055357332591e+00,-1.974454298876709424e-01,1.000000000000000000e+00
7.675025589036195139e-01,1.554178100594346690e-01,1.000000000000000000e+00
1.759926283908253675e+00,7.421578612115687923e-01,1.000000000000000000e+00
1.368550450874479463e+00,-1.077675189783462661e+00,0.000000000000000000e+00
-1.922407115259510413e-01,-8.137724218420404609e-01,0.000000000000000000e+00
1.504947404008307288e+00,6.576399038177728196e-01,1.000000000000000000e+00
-3.051444257775161040e-01,-4.524678870704014200e-01,0.000000000000000000e+00
4.846648782067015104e-01,-7.014955301795534615e-01,0.000000000000000000e+00
-9.305888762121554691e-01,4.812744922715322948e-01,0.000000000000000000e+00
2.463132032105225910e+00,-2.461335540648132703e-01,0.000000000000000000e+00
-5.558657807935545314e-01,-1.171156834025542937e+00,0.000000000000000000e+00
-1.335010957559382705e+00,5.249832345642260201e-01,0.000000000000000000e+00
8.508030327785525149e-01,9.174720882490199764e-03,1.000000000000000000e+00
3.325759886762084117e-01,1.159165775071039628e-01,1.000000000000000000e+00
1.386548460472208366e-01,-1.526159052582847453e+00,0.000000000000000000e+00
-4.581182730492211475e-01,1.114793075899477293e-01,0.000000000000000000e+00
-7.831667805636853830e-01,-4.764297438598174561e-01,0.000000000000000000e+00
-8.191201803277344817e-01,-3.334966741984413119e-01,0.000000000000000000e+00
