Ticker,Company,Sector,Industry,Price,PE,PEG,RelValIndex,GrossMargin
HSY,The Hershey Company,Confectionery,Chocolate,32.15139781718411,11.957912495317835,1.290911891475893,10,39.57347082307808
GIS,General Mills Inc.,Packaged Foods,Cereal & Breakfast,61.5549125018193,16.622362248904707,1.2451687987637514,8,22.52647419383153
FCG,FCG Co.,Packaged Foods,Cereal & Breakfast,47.815051872614255,18.363194838558837,0.7276208606944927,9,29.302965988461928
FIO,FIO Foods Inc.,Beverages,Beer & Spirits,27.19367219356935,,1.903074832583475,8,31.85956695788868
MCD,McDonald's Corporation,Restaurants,QSR Burgers,45.5215967355571,15.69374137717924,0.7105494725335383,10,22.75369681364281
SBUX,Starbucks Corporation,Restaurants,Coffee Shops,33.52537065674467,12.213313742781562,1.4232894262164844,10,33.664965541243575
FNE,FNE Co.,Restaurants,Fast Casual,35.786418794266744,12.515957651205913,2.783709392779506,8,27.437521754844973
FQC,FQC Co.,Restaurants,Casual Dining,60.193787183979126,20.73941807214018,0.6363869275394073,8,35.572776547926054
FRV,FRV Foods Inc.,Grocery Retail,Supermarkets,47.99335808398124,20.350894982585395,1.2949518665368789,10,35.36149875426816
TSN,Tyson Foods Inc.,Meat & Protein,Poultry,64.25800897396817,13.116375802437078,1.4767652470008499,8,42.24037684968225
ADM,Archer-Daniels-Midland Co.,Agribusiness,Grain Merchants,30.571180592494578,16.796940119479665,1.3110979163975442,10,24.300043224361378
CPB,Campbell Soup Company,Packaged Foods,Canned Goods,60.91975096502728,15.820486906237445,1.470803378755312,8,40.69395980427795
K,Kellanova,Packaged Foods,Cereal & Breakfast,54.24899672412914,13.646410801172014,0.868810224673799,9,38.80990575367706
BGZ,BGZ Co.,Ingredients,Flavors & Fragrances,30.516110036000573,11.320901042412183,0.7404349698834538,8,32.801448799424705
BLI,BLI Foods Inc.,Confectionery,Candy & Gum,38.8674853500668,18.265647287081702,0.718100632324374,10,27.70592486732394
